key,fare_amount
2015-01-27 13:08:24.0000002,8.78
2015-01-27 13:08:24.0000003,9.84
2011-10-08 11:53:44.0000002,4.720000000000001
2012-12-01 21:12:12.0000002,6.12
2012-12-01 21:12:12.0000003,18.9
2012-12-01 21:12:12.0000005,8.52
2011-10-06 12:10:20.0000001,4.6
2011-10-06 12:10:20.0000003,51.354
2011-10-06 12:10:20.0000002,12.86
2014-02-18 15:22:20.0000002,5.819999999999999
2014-02-18 15:22:20.0000003,8.16
2014-02-18 15:22:20.0000001,12.5
2010-03-29 20:20:32.0000002,5.0200000000000005
2010-03-29 20:20:32.0000001,7.7
2011-10-06 03:59:12.0000002,9.54
2011-10-06 03:59:12.0000001,13.24
2012-07-15 16:45:04.0000006,15.419999999999998
2012-07-15 16:45:04.0000002,8.080000000000002
2012-07-15 16:45:04.0000003,7.340000000000001
2012-07-15 16:45:04.0000004,6.76
2014-10-29 02:09:56.0000001,7.122
2014-06-14 13:39:00.00000010,7.519999999999999
2014-06-14 13:39:00.00000060,8.120000000000001
2014-06-14 13:39:00.00000087,5.68
2014-06-14 13:39:00.00000050,16.34
2014-06-14 13:39:00.0000003,5.380000000000001
2014-06-14 13:39:00.000000158,32.32
2014-06-14 13:39:00.00000015,31.965999999999998
2014-06-14 13:39:00.00000073,4.779999999999999
2014-06-14 13:39:00.00000077,14.84
2014-06-14 13:39:00.000000145,8.06
2014-06-14 13:39:00.00000079,4.42
2014-06-14 13:39:00.000000121,5.48
2014-06-14 13:39:00.00000021,9.38
2014-06-14 13:39:00.0000005,9.3
2014-06-14 13:39:00.000000165,6.08
2014-06-14 13:39:00.000000184,7.06
2014-06-14 13:39:00.00000059,5.2
2014-06-14 13:39:00.00000070,7.5
2014-06-14 13:39:00.00000068,3.9199999999999995
2014-06-14 13:39:00.000000133,16.46
2014-06-14 13:39:00.000000128,7.540000000000001
2014-06-14 13:39:00.000000136,15.12
2014-06-14 13:39:00.00000017,12.0
2014-06-14 13:39:00.000000111,6.0
2014-06-14 13:39:00.000000115,14.080000000000002
2014-06-14 13:39:00.000000168,6.0600000000000005
2014-06-14 13:39:00.00000031,6.380000000000001
2014-06-14 13:39:00.000000116,5.340000000000001
2014-06-14 13:39:00.00000051,4.2
2014-06-14 13:39:00.000000193,10.0
2014-06-14 13:39:00.000000132,11.120000000000001
2014-06-14 13:39:00.000000167,15.6
2014-06-14 13:39:00.00000044,4.5600000000000005
2014-06-14 13:39:00.000000138,5.24
2014-06-14 13:39:00.00000066,11.62
2014-06-14 13:39:00.00000063,8.080000000000002
2014-06-14 13:39:00.000000154,8.84
2014-06-14 13:39:00.00000097,11.62
2014-06-14 13:39:00.00000067,13.0
2014-06-14 13:39:00.000000179,6.5200000000000005
2014-06-14 13:39:00.00000092,9.0
2014-06-14 13:39:00.00000029,6.26
2014-06-14 13:39:00.000000177,5.6
2014-06-14 13:39:00.000000192,6.2
2014-06-14 13:39:00.000000181,5.5
2014-06-14 13:39:00.000000120,10.4
2014-06-14 13:39:00.0000008,5.82
2014-06-14 13:39:00.000000103,4.7
2014-06-14 13:39:00.00000049,15.86
2014-06-14 13:39:00.000000108,5.94
2014-06-14 13:39:00.00000072,4.46
2014-06-14 13:39:00.000000182,9.620000000000001
2014-06-14 13:39:00.00000061,4.359999999999999
2014-06-14 13:39:00.00000093,7.38
2014-06-14 13:39:00.000000170,11.78
2014-06-14 13:39:00.000000147,48.26
2014-06-14 13:39:00.000000140,15.913999999999998
2014-06-14 13:39:00.000000159,4.24
2014-06-14 13:39:00.00000012,4.8
2014-06-14 13:39:00.00000025,5.24
2014-06-14 13:39:00.000000156,4.9399999999999995
2014-06-14 13:39:00.000000152,8.219999999999999
2014-06-14 13:39:00.000000129,10.42
2014-06-14 13:39:00.000000119,17.1
2014-06-14 13:39:00.000000118,4.540000000000001
2014-06-14 13:39:00.00000076,4.58
2014-06-14 13:39:00.000000135,7.139999999999999
2014-06-14 13:39:00.00000023,19.04
2014-06-14 13:39:00.00000082,11.16
2014-06-14 13:39:00.000000125,12.2
2014-06-14 13:39:00.00000075,9.14
2014-06-14 13:39:00.000000124,6.8
2014-06-14 13:39:00.000000172,4.82
2014-06-14 13:39:00.00000024,15.559999999999999
2014-06-14 13:39:00.000000169,12.98
2014-06-14 13:39:00.00000052,10.9
2014-06-14 13:39:00.000000161,12.6
2014-06-14 13:39:00.00000038,6.56
2014-06-14 13:39:00.00000035,10.8
2014-06-14 13:39:00.00000053,9.819999999999999
2014-06-14 13:39:00.000000183,5.16
2014-06-14 13:39:00.000000131,52.660000000000004
2014-06-14 13:39:00.000000180,8.26
2014-06-14 13:39:00.000000130,5.6
2014-06-14 13:39:00.00000032,5.0600000000000005
2014-06-14 13:39:00.000000148,11.180000000000001
2014-06-14 13:39:00.0000007,8.440000000000001
2014-06-14 13:39:00.00000095,10.819999999999999
2014-06-14 13:39:00.000000144,34.08
2014-06-14 13:39:00.000000141,23.78
